"","ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_gene_name","hsapiens_homolog_goslim"
"425","YKL143W","LTV1","",NA,"NA"
"426","YKL156W","RPS27A","",NA,"NA"
"427","YKL160W","ELF1","ENSG00000130165","ELOF1",""
"428","YKL172W","EBP2","ENSG00000117395","EBNA1BP2","nucleus"
"429","YKL173W","SNU114","",NA,"NA"
"430","YKR002W","PAP1","ENSG00000115421","PAPOLG","cytoplasm"
"431","YKR002W","PAP1","ENSG00000218823","PAPOLB","cytoplasm"
"432","YKR002W","PAP1","ENSG00000090060","PAPOLA","cytoplasm"
"433","YKR010C","TOF2","",NA,"NA"
"434","YKR014C","YPT52","ENSG00000165105","RASEF","GTP binding"
"435","YKR014C","YPT52","ENSG00000255587","RAB44","GTP binding"
"436","YKR024C","DBP7","ENSG00000125485","DDX31","ATP binding"
"437","YKR036C","CAF4","ENSG00000114742","WDR48","nucleus"
"438","YKR057W","RPS21A","ENSG00000171858","RPS21","cytoplasm"
"439","YKR062W","TFA2","",NA,"NA"
"440","YKR077W","MSA2","",NA,"NA"
"441","YKR084C","HBS1","",NA,"NA"
"442","YKR085C","MRPL20","",NA,"NA"
"443","YKR092C","SRP40","ENSG00000166197","NOLC1","cytoplasm"
"444","YKR094C","RPL40B","ENSG00000221983","UBA52","plasma membrane"
"445","YLL008W","DRS1","ENSG00000124228","DDX27","ATP binding"
"446","YLL013C","PUF3","ENSG00000055917","PUM2","cytoplasm"
"447","YLL013C","PUF3","ENSG00000134644","PUM1",""
"448","YLL018C","DPS1","ENSG00000115866","DARS","cytoplasm"
"449","YLL032C","","",NA,"NA"
"450","YLR002C","NOC3","ENSG00000173145","NOC3L","nucleus"
"451","YLR003C","CMS1","",NA,"NA"
"452","YLR009W","RLP24","ENSG00000137876","RSL24D1","nucleus"
"453","YLR044C","PDC1","",NA,"NA"
"454","YLR051C","FCF2","ENSG00000067334","DNTTIP2","regulation of transcription, DNA-templated"
"455","YLR061W","RPL22A","ENSG00000163584","RPL22L1","structural constituent of ribosome"
"456","YLR061W","RPL22A","ENSG00000116251","RPL22",""
"457","YLR068W","FYV7","",NA,"NA"
"458","YLR150W","STM1","",NA,"NA"
"459","YLR175W","CBF5","ENSG00000130826","DKC1","cytoplasm"
"460","YLR185W","RPL37A","ENSG00000145592","RPL37","metal ion binding"
"461","YLR196W","PWP1","ENSG00000136045","PWP1","nucleus"
"462","YLR197W","NOP56","ENSG00000101361","NOP56","cytoplasm"
"463","YLR203C","MSS51","",NA,"NA"
"464","YLR222C","UTP13","ENSG00000085978","ATG16L1",""
"465","YLR222C","UTP13","ENSG00000122692","SMU1","cytoplasm"
"466","YLR222C","UTP13","ENSG00000168010","ATG16L2","autophagosome membrane"
"467","YLR222C","UTP13","ENSG00000183751","TBL3","nucleus"
"468","YLR244C","MAP1","ENSG00000164024","METAP1","cytoplasm"
"469","YLR244C","MAP1","ENSG00000172878","METAP1D","metal ion binding"
"470","YLR276C","DBP9","ENSG00000136271","DDX56","membrane"
"471","YLR287C-A","RPS30A","",NA,"NA"
"472","YLR305C","STT4","ENSG00000241973","PI4KA","cytoplasm"
"473","YLR309C","IMH1","",NA,"NA"
"474","YLR324W","PEX30","",NA,"NA"
"475","YLR325C","RPL38","ENSG00000172809","RPL38","cytosol"
"476","YLR328W","NMA1","ENSG00000173614","NMNAT1",""
"477","YLR328W","NMA1","ENSG00000163864","NMNAT3",""
"478","YLR328W","NMA1","ENSG00000157064","NMNAT2","ATP binding"
"479","YLR336C","SGD1","ENSG00000146909","NOM1","nucleus"
"480","YLR357W","RSC2","ENSG00000163939","PBRM1","regulation of transcription, DNA-templated"
"481","YLR363W-A","","",NA,"NA"
"482","YLR367W","RPS22B","ENSG00000134419","RPS15A","cytoplasm"
"483","YLR371W","ROM2","ENSG00000268861","CTD-2207O23.3","metal ion binding"
"484","YLR371W","ROM2","ENSG00000132694","ARHGEF11","G-protein coupled receptor signaling pathway"
"485","YLR371W","ROM2","ENSG00000173848","NET1","positive regulation of GTPase activity"
"486","YLR371W","ROM2","ENSG00000116584","ARHGEF2","cytoplasm"
"487","YLR371W","ROM2","ENSG00000170776","AKAP13",""
"488","YLR371W","ROM2","ENSG00000196914","ARHGEF12","G-protein coupled receptor signaling pathway"
"489","YLR371W","ROM2","ENSG00000104880","ARHGEF18","cytoplasm"
"490","YLR371W","ROM2","ENSG00000163947","ARHGEF3","intracellular"
"491","YLR371W","ROM2","ENSG00000076928","ARHGEF1","cytoplasm"
"492","YLR371W","ROM2","ENSG00000214944","ARHGEF28","metal ion binding"
"493","YLR386W","VAC14","ENSG00000103043","VAC14",""
"494","YLR388W","RPS29A","ENSG00000213741","RPS29","cytoplasm"
"495","YLR399C","BDF1","ENSG00000100393","EP300","cytoplasm"
"496","YLR399C","BDF1","ENSG00000204256","BRD2","nucleus"
"497","YLR399C","BDF1","ENSG00000137948","BRDT","nucleus"
"498","YLR399C","BDF1","ENSG00000169925","BRD3","nucleus"
"499","YLR399C","BDF1","ENSG00000141867","BRD4","cytoplasm"
"500","YLR399C","BDF1","ENSG00000005339","CREBBP","signal transducer activity"
"501","YLR430W","SEN1","ENSG00000124201","ZNFX1",""
"502","YLR430W","SEN1","ENSG00000021776","AQR","membrane"
"503","YLR430W","SEN1","ENSG00000107290","SETX",""
"504","YLR432W","IMD3","",NA,"NA"
"505","YLR448W","RPL6B","ENSG00000089009","RPL6","regulation of transcription, DNA-templated"
"506","YLR449W","FPR4","ENSG00000119321","FKBP15",""
"507","YLR454W","FMP27","",NA,"NA"
"508","YLR455W","PDP3","",NA,"NA"
"509","YML009C","MRPL39","",NA,"NA"
"510","YML057W","CMP2","",NA,"NA"
"511","YML073C","RPL6A","",NA,"NA"
"512","YML074C","FPR3","ENSG00000119321","FKBP15",""
"513","YML093W","UTP14","ENSG00000253797","UTP14C","cell differentiation"
"514","YML093W","UTP14","ENSG00000156697","UTP14A","poly(A) RNA binding"
"515","YMR011W","HXT2","",NA,"NA"
"516","YMR014W","BUD22","",NA,"NA"
"517","YMR031C","EIS1","",NA,"NA"
"518","YMR039C","SUB1","ENSG00000113387","SUB1","nucleus"
"519","YMR049C","ERB1","ENSG00000261236","BOP1","cytoplasm"
"520","YMR078C","CTF18","ENSG00000127586","CHTF18","cytoplasm"
"521","YMR083W","ADH3","",NA,"NA"
"522","YMR110C","HFD1","ENSG00000006534","ALDH3B1","cytoplasm"
"523","YMR110C","HFD1","ENSG00000132746","ALDH3B2","oxidation-reduction process"
"524","YMR110C","HFD1","ENSG00000072210","ALDH3A2",""
"525","YMR110C","HFD1","ENSG00000108602","ALDH3A1",""
"526","YMR116C","ASC1","ENSG00000204628","RACK1",""
"527","YMR116C","ASC1","ENSG00000148225","WDR31",""
"528","YMR143W","RPS16A","ENSG00000105193","RPS16",""
"529","YMR193W","MRPL24","",NA,"NA"
"530","YMR194W","RPL36A","ENSG00000130255","RPL36","cytoplasm"
"531","YMR207C","HFA1","",NA,"NA"
"532","YMR213W","CEF1","ENSG00000096401","CDC5L","cytoplasm"
"533","YMR230W","RPS10B","",NA,"NA"
"534","YMR233W","TRI1","",NA,"NA"
"535","YMR234W","RNH1","ENSG00000171865","RNASEH1",""
"536","YMR234W","RNH1","ENSG00000255767","RP13-512J5.1","nucleic acid binding"
"537","YMR239C","RNT1","",NA,"NA"
"538","YMR242C","RPL20A","ENSG00000105640","RPL18A","cytosol"
"539","YMR260C","TIF11","ENSG00000173674","EIF1AX","cytosol"
"540","YMR260C","TIF11","ENSG00000198692","EIF1AY","protein binding"
"541","YMR266W","RSN1","",NA,"NA"
"542","YMR307W","GAS1","",NA,"NA"
"543","YMR315W","","",NA,"NA"
"544","YNL005C","MRP7","ENSG00000108826","MRPL27",""
"545","YNL048W","ALG11","ENSG00000253710","ALG11",""
"546","YNL050C","","",NA,"NA"
"547","YNL062C","GCD10","ENSG00000089195","TRMT6","poly(A) RNA binding"
"548","YNL076W","MKS1","",NA,"NA"
"549","YNL091W","NST1","",NA,"NA"
"550","YNL110C","NOP15","ENSG00000155438","NIFK","cytoplasm"
"551","YNL113W","RPC19","ENSG00000186184","POLR1D",""
"552","YNL122C","","",NA,"NA"
"553","YNL124W","NAF1","ENSG00000145414","NAF1",""
"554","YNL136W","EAF7","",NA,"NA"
"555","YNL162W","RPL42A","ENSG00000257529","RPL36A-HNRNPH2",""
"556","YNL162W","RPL42A","ENSG00000241343","RPL36A",""
"557","YNL162W","RPL42A","ENSG00000165502","RPL36AL","structural constituent of ribosome"
"558","YNL199C","GCR2","",NA,"NA"
"559","YNL207W","RIO2","ENSG00000058729","RIOK2","metal ion binding"
"560","YNL227C","JJJ1","ENSG00000168724","DNAJC21","protein folding"
"561","YNL241C","ZWF1","ENSG00000160211","G6PD","cytoplasm"
"562","YNL241C","ZWF1","ENSG00000049239","H6PD","oxidation-reduction process"
"563","YNL248C","RPA49","ENSG00000137054","POLR1E","nucleus"
"564","YNL265C","IST1","ENSG00000182149","IST1",""
"565","YNL302C","RPS19B","ENSG00000105372","RPS19","cytoplasm"
"566","YNL308C","KRI1","ENSG00000129347","KRI1","poly(A) RNA binding"
"567","YNL330C","RPD3","ENSG00000147099","HDAC8",""
"568","YNL330C","RPD3","ENSG00000196591","HDAC2","cytoplasm"
"569","YNL330C","RPD3","ENSG00000116478","HDAC1","cytoplasm"
"570","YNL330C","RPD3","ENSG00000171720","HDAC3","cytoplasm"
"571","YNR016C","ACC1","ENSG00000278540","ACACA","cytoplasm"
"572","YNR016C","ACC1","ENSG00000076555","ACACB","metal ion binding"
"573","YNR019W","ARE2","ENSG00000167780","SOAT2",""
"574","YNR019W","ARE2","ENSG00000057252","SOAT1","integral component of membrane"
"575","YNR019W","ARE2","ENSG00000185000","DGAT1","integral component of membrane"
"576","YNR024W","MPP6","",NA,"NA"
"577","YNR054C","ESF2","ENSG00000146109","ABT1","nucleus"
"578","YOL006C","TOP1","ENSG00000184428","TOP1MT",""
"579","YOL006C","TOP1","ENSG00000198900","TOP1","nucleus"
"580","YOL012C","HTZ1","ENSG00000164032","H2AFZ","nucleus"
"581","YOL012C","HTZ1","ENSG00000105968","H2AFV","nucleus"
"582","YOL016C","CMK2","ENSG00000058404","CAMK2B","plasma membrane"
"583","YOL016C","CMK2","ENSG00000008118","CAMK1G","plasma membrane"
"584","YOL016C","CMK2","ENSG00000164076","CAMKV","plasma membrane"
"585","YOL016C","CMK2","ENSG00000152495","CAMK4",""
"586","YOL016C","CMK2","ENSG00000148660","CAMK2G","plasma membrane"
"587","YOL016C","CMK2","ENSG00000159792","PSKH1",""
"588","YOL016C","CMK2","ENSG00000145349","CAMK2D","cytoplasm"
"589","YOL016C","CMK2","ENSG00000070808","CAMK2A","plasma membrane"
"590","YOL016C","CMK2","ENSG00000147613","PSKH2","ATP binding"
"591","YOL016C","CMK2","ENSG00000183049","CAMK1D","cytoplasm"
"592","YOL016C","CMK2","ENSG00000134072","CAMK1","cytoplasm"
"593","YOL016C","CMK2","ENSG00000130822","PNCK","cytoplasm"
"594","YOL034W","SMC5","ENSG00000198887","SMC5","nucleus"
"595","YOL038W","PRE6","ENSG00000101182","PSMA7",""
"596","YOL038W","PRE6","ENSG00000154611","PSMA8","nucleus"
"597","YOL040C","RPS15","ENSG00000115268","RPS15",""
"598","YOL041C","NOP12","ENSG00000188739","RBM34","nucleus"
"599","YOL051W","GAL11","",NA,"NA"
"600","YOL060C","MAM3","ENSG00000119946","CNNM1","integral component of membrane"
"601","YOL060C","MAM3","ENSG00000168763","CNNM3","integral component of membrane"
"602","YOL060C","MAM3","ENSG00000148842","CNNM2","integral component of membrane"
"603","YOL060C","MAM3","ENSG00000158158","CNNM4","integral component of membrane"
"604","YOL076W","MDM20","",NA,"NA"
"605","YOL077C","BRX1","ENSG00000113460","BRIX1","nucleus"
"606","YOL121C","RPS19A","",NA,"NA"
"607","YOL130W","ALR1","",NA,"NA"
"608","YOL148C","SPT20","",NA,"NA"
"609","YOR004W","UTP23","ENSG00000147679","UTP23","poly(A) RNA binding"
"610","YOR006C","TSR3","ENSG00000007520","TSR3","maturation of SSU-rRNA"
"611","YOR039W","CKB2","ENSG00000204435","CSNK2B",""
"612","YOR043W","WHI2","",NA,"NA"
"613","YOR057W","SGT1","ENSG00000165416","SUGT1","nucleus"
"614","YOR061W","CKA2","ENSG00000254598","CSNK2A3","ATP binding"
"615","YOR061W","CKA2","ENSG00000101266","CSNK2A1",""
"616","YOR061W","CKA2","ENSG00000070770","CSNK2A2","protein folding"
"617","YOR078W","BUD21","",NA,"NA"
"618","YOR091W","TMA46","ENSG00000065548","ZC3H15","cytoplasm"
"619","YOR096W","RPS7A","ENSG00000171863","RPS7","cytoplasm"
"620","YOR099W","KTR1","",NA,"NA"
"621","YOR119C","RIO1","ENSG00000101782","RIOK3","metal ion binding"
"622","YOR119C","RIO1","ENSG00000124784","RIOK1","metal ion binding"
"623","YOR123C","LEO1","ENSG00000166477","LEO1","protein binding"
"624","YOR138C","RUP1","",NA,"NA"
"625","YOR158W","PET123","",NA,"NA"
"626","YOR182C","RPS30B","",NA,"NA"
"627","YOR198C","BFR1","",NA,"NA"
"628","YOR201C","MRM1","ENSG00000278619","MRM1","mitochondrion"
"629","YOR206W","NOC2","ENSG00000188976","NOC2L","cytoplasm"
"630","YOR210W","RPB10","ENSG00000177700","POLR2L","nucleus"
"631","YOR212W","STE4","ENSG00000111664","GNB3","signal transducer activity"
"632","YOR212W","STE4","ENSG00000172354","GNB2","signal transducer activity"
"633","YOR212W","STE4","ENSG00000078369","GNB1","signal transducer activity"
"634","YOR212W","STE4","ENSG00000114450","GNB4","signal transducer activity"
"635","YOR212W","STE4","ENSG00000069966","GNB5","signal transducer activity"
"636","YOR212W","STE4","ENSG00000085433","WDR47","cytoplasm"
"637","YOR224C","RPB8","ENSG00000163882","POLR2H","nucleus"
"638","YOR272W","YTM1","ENSG00000047056","WDR37",""
"639","YOR272W","YTM1","ENSG00000138442","WDR12","protein binding"
"640","YOR287C","RRP36","",NA,"NA"
"641","YOR288C","MPD1","",NA,"NA"
"642","YOR293W","RPS10A","ENSG00000270800","RPS10-NUDT3","structural constituent of ribosome"
"643","YOR293W","RPS10A","ENSG00000124614","RPS10",""
"644","YOR294W","RRS1","ENSG00000179041","RRS1","nucleus"
"645","YOR301W","RAX1","",NA,"NA"
"646","YOR310C","NOP58","ENSG00000055044","NOP58","cytoplasm"
"647","YOR312C","RPL20B","ENSG00000105640","RPL18A","cytosol"
"648","YOR340C","RPA43","",NA,"NA"
"649","YOR341W","RPA190","ENSG00000068654","POLR1A","cytoplasm"
"650","YOR369C","RPS12","ENSG00000112306","RPS12","cytosol"
"651","YOR370C","MRS6","",NA,"NA"
"652","YOR374W","ALD4","ENSG00000137124","ALDH1B1","carbohydrate metabolic process"
"653","YOR374W","ALD4","ENSG00000161618","ALDH16A1","oxidation-reduction process"
"654","YOR374W","ALD4","ENSG00000184254","ALDH1A3",""
"655","YOR374W","ALD4","ENSG00000111275","ALDH2","carbohydrate metabolic process"
"656","YOR374W","ALD4","ENSG00000257767","RP11-162P23.2","oxidation-reduction process"
"657","YOR374W","ALD4","ENSG00000144908","ALDH1L1","cytoplasm"
"658","YOR374W","ALD4","ENSG00000164904","ALDH7A1",""
"659","YOR374W","ALD4","ENSG00000136010","ALDH1L2","oxidation-reduction process"
"660","YOR374W","ALD4","ENSG00000165092","ALDH1A1","cytoplasm"
"661","YOR374W","ALD4","ENSG00000128918","ALDH1A2","cytoplasm"
"662","YPL010W","RET3","ENSG00000111481","COPZ1",""
"663","YPL010W","RET3","ENSG00000005243","COPZ2",""
"664","YPL028W","ERG10","ENSG00000075239","ACAT1","metal ion binding"
"665","YPL028W","ERG10","ENSG00000120437","ACAT2","cytoplasm"
"666","YPL028W","ERG10","ENSG00000167315","ACAA2","mitochondrion"
"667","YPL043W","NOP4","ENSG00000106344","RBM28","nucleotide binding"
"668","YPL074W","YTA6","ENSG00000278685","IQCA1L",""
"669","YPL074W","YTA6","ENSG00000021574","SPAST","cytoplasm"
"670","YPL074W","YTA6","ENSG00000132436","FIGNL1","cytoplasm"
"671","YPL074W","YTA6","ENSG00000182263","FIGN",""
"672","YPL074W","YTA6","ENSG00000132321","IQCA1","ATP binding"
"673","YPL081W","RPS9A","ENSG00000170889","RPS9","cytoplasm"
"674","YPL094C","SEC62","ENSG00000008952","SEC62","integral component of membrane"
"675","YPL105C","SYH1","",NA,"NA"
"676","YPL110C","GDE1","ENSG00000125772","GPCPD1","cytosol"
"677","YPL116W","HOS3","",NA,"NA"
"678","YPL127C","HHO1","",NA,"NA"
"679","YPL146C","NOP53","",NA,"NA"
"680","YPL183C","RTT10","ENSG00000178252","WDR6","protein complex"
"681","YPL183W-A","RTC6","ENSG00000171421","MRPL36","structural constituent of ribosome"
"682","YPL198W","RPL7B","ENSG00000146223","RPL7L1","structural constituent of ribosome"
"683","YPL198W","RPL7B","ENSG00000147604","RPL7",""
"684","YPL211W","NIP7","ENSG00000132603","NIP7","cytoplasm"
"685","YPL212C","PUS1","ENSG00000177192","PUS1","nucleus"
"686","YPL237W","SUI3","ENSG00000125977","EIF2S2","cytoplasm"
"687","YPL245W","","",NA,"NA"
"688","YPL249C-A","RPL36B","ENSG00000130255","RPL36","cytoplasm"
"689","YPL263C","KEL3","ENSG00000104731","KLHDC4","protein binding"
"690","YPR004C","AIM45","ENSG00000140374","ETFA","mitochondrion"
"691","YPR010C","RPA135","ENSG00000125630","POLR1B","cytoplasm"
"692","YPR018W","RLF2","",NA,"NA"
"693","YPR072W","NOT5","",NA,"NA"
"694","YPR104C","FHL1","ENSG00000198815","FOXJ3",""
"695","YPR104C","FHL1","ENSG00000065970","FOXJ2","nucleus"
"696","YPR105C","COG4","ENSG00000103051","COG4",""
"697","YPR110C","RPC40","ENSG00000171453","POLR1C",""
"698","YPR111W","DBF20","ENSG00000120539","MASTL","cytoplasm"
"699","YPR137W","RRP9","ENSG00000129566","TEP1",""
"700","YPR137W","RRP9","ENSG00000114767","RRP9","nucleus"
"701","YPR139C","LOA1","",NA,"NA"
"702","YPR141C","KAR3","ENSG00000140859","KIFC3","ATP binding"
"703","YPR141C","KAR3","ENSG00000167702","KIFC2","cytoplasm"
"704","YPR141C","KAR3","ENSG00000125337","KIF25","cytoplasm"
"705","YPR141C","KAR3","ENSG00000237649","KIFC1","nucleus"
"706","YPR143W","RRP15","",NA,"NA"
"707","YPR144C","NOC4","ENSG00000184967","NOC4L","integral component of membrane"
"708","YPR169W","JIP5","",NA,"NA"
"709","YPR187W","RPO26","ENSG00000100142","POLR2F","nucleus"
